Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Concert for Edith Wol,Herbert Bayer,399,"(American, born Austria. 1900–1985)",(American),(1900),(1985),(Male),1900-1950,,,Gift of Bernard Davis,181.1950,Design,Architecture & Design,1950-04-24,N,5559,,,,,,,,,,,
"Maquette for spread featuring the 1928 film Kapitanskaya dochka (The Captain’s Daughter) in Sovetsky Ekran (The Soviet Screen), no. 32",Varvara Stepanova,5643,"(Russian, 1894–1958)",(Russian),(1894),(1958),(Female),1928,Cut-and-pasted gelatin silver prints on paper with gouache and pencil,"12 3/16 × 17 15/16"" (31 × 45.5 cm)",Gift of Krystyna Gmurzynska,760.2019,Drawing,Drawings & Prints,2019-12-11,Y,401582,http://www.moma.org/collection/works/401582,http://www.moma.org/media/W1siZiIsIjQ3NzQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=899778e64673aa19,,0.0,,31.0,,,45.5,,
"Die Aktion, vol. 5, no. 39/40",,,,,,,,"September 25, 1915",Periodical,"page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)",Committee on Prints and Illustrated Books Fund and The Library Council,947.2010.164,Periodical,Drawings & Prints,2010-11-10,N,144369,,,,,,30.8,,,23.2,,
"Transport Worker Arms Himself With Technincal Skill, Strive to Reconstruct Transportation",Nikolai Dolgorukov,1575,"(Russian, 1902–1980)",(Russian),(1902),(1980),(Male),1931,Offset lithograph,"40 7/8 x 28 3/4"" (104 x 73 cm)",Anonymous gift,474.1987,Design,Architecture & Design,1987-11-18,Y,7166,http://www.moma.org/collection/works/7166,http://www.moma.org/media/W1siZiIsIjIxMTQ5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=58b8ac05a62fc81e,,,,104.0,,,73.0,,
"Iggy Pop, Metallic KO",Unknown Designer,6021,(American),(American),(0),(0),(),1977,Lithograph,"16 x 12"" (40.6 x 30.5 cm)",Gift of Lawrence Benenson,207.2012,Design,Architecture & Design,2012-02-09,Y,156076,http://www.moma.org/collection/works/156076,http://www.moma.org/media/W1siZiIsIjI1MTgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=570fcfbcf847dd4e,,,,40.6400812802,,,30.4800609601,,
Mutter Küsters Fahrt Zum Himmel,Rainer Werner Fassbinder,26614,"(German, 1945–1982)",(German),(1945),(1982),(Male),1975,German one-sheet,"33 x 23 1/4"" (83.8 x 59.1 cm)",Purchase from Fabiano Canosa,F2013.234,Work on Paper,Film,2013-10-22,N,175013,,,,0.0,,83.8201676403,,,59.0551181102,,
Untitled,Unknown photographer,8595,,(),(0),(0),(),c. 1940,Gelatin silver print,"3 × 2 1/16"" (7.6 × 5.2 cm)",Gift of Peter J. Cohen,680.2010,Photograph,Photography,2010-10-07,Y,141043,http://www.moma.org/collection/works/141043,http://www.moma.org/media/W1siZiIsIjMyMzk0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b843b264c60c9b9,,,,7.6,,,5.2,,
The Murder from Nigger Heaven (Illustration from Carl van Vechten's novel),E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),(1890),(1954),(Male),1931,Gouache and pencil on paper,"22 x 15 1/4"" (55.9 x 38.7 cm)",Gift of Carl van Vechten,738.1978.1,Drawing,Drawings & Prints,1978-10-27,Y,85901,http://www.moma.org/collection/works/85901,http://www.moma.org/media/W1siZiIsIjMzMTU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5f7eb8df39145ecc,,,,55.9,,,38.7,,
Tumblers (model i-104),Timo Sarpaneva,5168,"(Finnish, 1926–2006)",(Finnish),(1926),(2006),(Male),1956,Blown glass,"2 1/2 x 2 3/4"" (6.4 x 7 cm)",Purchase,743.1983.1-6,Design,Architecture & Design,1983-11-30,Y,4438,http://www.moma.org/collection/works/4438,http://www.moma.org/media/W1siZiIsIjU5MjQwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3eb3e7edf46a90e6,,,6.985,6.4,,,,,
Bukkyo Dendo Kyokai,Tadanori Yokoo,6502,"(Japanese, born 1936)",(Japanese),(1936),(0),(Male),Unknown,Offset lithograph,"43 1/8 x 31 1/8"" (109.6 x 79 cm)",Gift of the designer,840.1983,Design,Architecture & Design,1983-11-30,Y,8248,http://www.moma.org/collection/works/8248,,,,,109.6,,,79.0,,
